tconst,title,actor,actress,director,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0098976,Aaj Ka Arjun,,,,1990.0,164.0,"Action,Crime,Drama",4.6,656
tt0098978,Abschiedsdisco,,,,1990.0,91.0,"Drama,Family",6.2,36
tt0098980,"Ach, Boris...",,,,1990.0,85.0,Drama,5.6,11
tt0098981,Der achte Tag,,,,1990.0,99.0,Sci-Fi,5.7,53
tt0098986,Adrénaline,,,,1990.0,77.0,Horror,6.3,239
tt0098987,The Adventures of Ford Fairlane,,,,1990.0,104.0,"Action,Adventure,Comedy",6.4,18831
tt0098988,Aferisty,,,,1990.0,84.0,Comedy,5.3,46
tt0098989,Life Is Like a Cucumber,,,,1990.0,87.0,"Biography,Documentary",6.0,41
tt0098990,Afghan Breakdown,,,,1991.0,140.0,War,7.1,532
tt0098991,L'africana,,,,1990.0,105.0,Drama,7.1,42
tt0098992,Afrika um die Ecke,,,,1990.0,65.0,Documentary,2.8,7
tt0098993,Time Off,,,,1990.0,45.0,"Action,Drama,Romance",6.9,297
tt0098994,"After Dark, My Sweet",,,,1990.0,114.0,"Crime,Drama,Mystery",6.5,3972
tt0098996,Aftershock,,,,1990.0,91.0,"Action,Sci-Fi",4.2,393
tt0098998,The Age of Insects,,,,1990.0,75.0,"Comedy,Horror,Sci-Fi",5.2,54
tt0098999,Agneepath,,,,1990.0,174.0,"Action,Crime,Drama",7.6,9261
tt0099000,Farewell China,,,,1990.0,114.0,Drama,7.1,235
tt0099001,The Story of My Son,,,,1990.0,75.0,Drama,6.4,78
tt0099004,Ain't No Way Back,,,,1990.0,90.0,"Drama,Horror",5.3,85
tt0099005,Air America,Mel Gibson,,,1990.0,113.0,"Action,Comedy,War",5.8,29836
tt0099008,L'alba,,,,1991.0,80.0,Drama,5.4,50
tt0099009,Alberto Express,,,,1990.0,92.0,"Adventure,Comedy,Romance",6.4,201
tt0099011,Alcune signore per bene,,,,1990.0,91.0,"Drama,Mystery,Romance",5.7,39
tt0099012,Alice,,,,1990.0,106.0,"Comedy,Romance",6.6,14883
tt0099013,All of Me,,,,1990.0,76.0,"Drama,Romance",5.9,24
tt0099014,All the Vermeers in New York,,,,1990.0,87.0,"Comedy,Drama,Romance",6.4,1045
tt0099015,Alle Juden raus!,,,,1991.0,82.0,"Biography,Documentary,History",7.0,27
tt0099017,Alligator Eyes,,,,1990.0,101.0,"Comedy,Drama,Romance",4.4,152
tt0099018,Almost an Angel,,,,1990.0,95.0,"Comedy,Drama",5.5,4813
tt0099025,Amba,,,,1990.0,153.0,Family,4.2,58
tt0099026,The Ambulance,,,,1990.0,96.0,"Action,Comedy,Horror",5.9,4011
tt0099027,Amelia Lópes O'Neill,,,,1991.0,95.0,"Drama,Romance",6.3,65
tt0099028,American Dream,,,,1990.0,98.0,Documentary,7.8,970
tt0099029,Paradise America,,,,1990.0,120.0,"Crime,Drama",5.2,305
tt0099034,L'amour,,,,1990.0,80.0,"Drama,Romance",5.9,42
tt0099038,Anekdoty,,,,1990.0,78.0,Comedy,5.6,49
tt0099039,Angel Town,,,,1990.0,106.0,"Action,Drama",5.0,805
tt0099040,An Angel at My Table,,,,1990.0,158.0,"Biography,Drama",7.4,8418
tt0099043,Anjali,,,,1990.0,150.0,Drama,8.2,3116
tt0099044,Another 48 Hrs.,,,,1990.0,95.0,"Action,Comedy,Crime",5.9,43411
tt0099046,El anónimo... ¡vaya papelón!,,,,1990.0,84.0,Comedy,4.5,7
tt0099050,Scandal in Black,,,,1990.0,88.0,"Drama,Thriller",4.0,161
tt0099051,Après après-demain,,,,1990.0,84.0,"Comedy,Drama,Romance",5.1,25
tt0099052,Arachnophobia,John Goodman,,,1990.0,109.0,"Comedy,Horror,Thriller",6.5,73429
tt0099053,Archangel,,,,1990.0,90.0,"Comedy,Drama,Romance",6.4,1539
tt0099056,Fuga da Kayenta,,,,1991.0,89.0,Action,4.4,42
tt0099059,The Arrival,,,,1991.0,103.0,"Horror,Sci-Fi",4.5,370
